state,date,monthly_energy_prod,monthly_energy_use,yearly_energy_prod,yearly_energy_use,monthly_energy_flow,yearly_energy_flow
NC,1983-03,17908.770833333332,128585.4375,240799,1594752,-110676.66666666667,-1353953
NC,1983-04,18148.527777777777,129064.38888888889,240799,1594752,-110915.86111111111,-1353953
NC,1983-05,18388.284722222223,129543.34027777778,240799,1594752,-111155.05555555556,-1353953
NC,1983-06,18628.041666666664,130022.29166666666,240799,1594752,-111394.25,-1353953
NC,1983-07,18867.79861111111,130501.24305555555,240799,1594752,-111633.44444444444,-1353953
NC,1983-08,19107.555555555555,130980.19444444444,240799,1594752,-111872.63888888888,-1353953
NC,1983-09,19347.3125,131459.14583333334,240799,1594752,-112111.83333333334,-1353953
NC,1983-10,19587.069444444445,131938.09722222222,240799,1594752,-112351.02777777778,-1353953
NC,1983-11,19826.826388888887,132417.04861111112,240799,1594752,-112590.22222222223,-1353953
NC,1983-12,20066.583333333332,132896.0,240799,1594752,-112829.41666666667,-1353953
NC,1984-01,20717.243055555555,133818.30555555556,334494,1727564,-113101.0625,-1393070
NC,1984-02,21367.902777777777,134740.61111111112,334494,1727564,-113372.70833333334,-1393070
NC,1984-03,22018.5625,135662.91666666666,334494,1727564,-113644.35416666666,-1393070
NC,1984-04,22669.222222222223,136585.22222222222,334494,1727564,-113916.0,-1393070
NC,1984-05,23319.881944444445,137507.52777777778,334494,1727564,-114187.64583333334,-1393070
NC,1984-06,23970.541666666664,138429.8333333333,334494,1727564,-114459.29166666666,-1393070
NC,1984-07,24621.201388888887,139352.13888888888,334494,1727564,-114730.93749999999,-1393070
NC,1984-08,25271.86111111111,140274.44444444444,334494,1727564,-115002.58333333333,-1393070
NC,1984-09,25922.520833333332,141196.75,334494,1727564,-115274.22916666667,-1393070
NC,1984-10,26573.180555555555,142119.05555555556,334494,1727564,-115545.875,-1393070
NC,1984-11,27223.840277777777,143041.3611111111,334494,1727564,-115817.52083333331,-1393070
NC,1984-12,27874.5,143963.66666666666,334494,1727564,-116089.16666666666,-1393070
NC,1985-01,27725.291666666668,144003.8125,313008,1733345,-116278.52083333333,-1420337
NC,1985-02,27576.083333333332,144043.9583333333,313008,1733345,-116467.87499999999,-1420337
NC,1985-03,27426.875,144084.10416666666,313008,1733345,-116657.22916666666,-1420337
NC,1985-04,27277.666666666668,144124.25,313008,1733345,-116846.58333333333,-1420337
NC,1985-05,27128.458333333332,144164.3958333333,313008,1733345,-117035.93749999999,-1420337
